clusters_final,storm_duration,discharges_per_minute,magnitude_mean,magnitude_max,area,discharges_per_sqkm,distance_centroid,distance_polygon,distance_max,distance_min,line,label
1014.0,44.025666666666666,1.3401273499549506,20.389830508474578,69.0,147.3738653,0.4003423529667034,11.48636433,4.794384159,16.60818391,4.794384159,2,0.0
1015.0,11.935733333333474,0.5864742286467457,29.285714285714285,74.0,17.038491670000003,0.41083448790980914,4.490959672999999,2.9461885399999996,6.572958934,2.9461885399999996,2,0.0
1016.0,58.17999999999995,0.996906153317292,29.948275862068964,86.0,198.742667,0.2918346667854668,12.44346481,2.110417895,24.14396699,2.110417895,2,0.0
1017.0,10.955049999999915,0.4564105138726011,14.6,24.0,12.0686975,0.4142949145920676,3.50138031,0.0,6.649202933,0.5486526737,2,0.0
1018.0,0.008216666666612582,730.223123737058,25.0,34.0,47.53571183,0.12622089307208761,22.873080830000003,19.832546750000002,27.37662273,19.85519095,2,0.0
1019.0,6.135050000000206,1.4669807092036249,32.0,113.0,114.1561512,0.07883937838997501,7.639191701999999,2.786751857,12.320217679999999,2.786751857,2,0.0
1020.0,2.1652166666666517,4.618475441256873,31.5,59.0,30.00138147,0.33331798437347093,1.744648462,0.0,6.071556413000001,0.4161041474,2,0.0
1021.0,17.638433333333296,0.3968606433300018,11.285714285714286,18.0,72.08192411,0.09711172511596264,20.294564740000002,11.09367045,28.09954409,11.09367045,2,0.0
1022.0,17.28400000000005,1.9092802591992541,33.15151515151515,67.0,194.16963140000001,0.16995448650782163,11.61047152,2.784042453,20.30950291,2.784042453,2,0.0
1023.0,11.280283333333273,0.7092020442748964,47.375,71.0,29.78717554,0.268571956050587,27.146032069999997,23.525054800000003,29.75010847,23.525054800000003,2,0.0
